City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
119,rabo de peixe,37.8,-25.5833,24.73,69,75,6.17,PT,1721314905
120,dhidhdhoo,6.8833,73.1,28.56,78,100,7.39,MV,1721314906
121,crateus,-5.1783,-40.6775,33.04,33,60,4.7,BR,1721314907
122,porto de moz,-1.7483,-52.2383,32.47,38,73,1.34,BR,1721314908
123,atafu village,-8.5421,-172.5159,28.72,74,47,8.94,TK,1721314910
124,novaya igirma,57.1334,103.9112,20.24,67,66,0.91,RU,1721314911
125,ghat,24.9647,10.1728,40.61,7,0,10.59,LY,1721314912
126,laguna,38.421,-121.4238,25.1,71,0,0.45,US,1721314721
127,puerto natales,-51.7236,-72.4875,2.25,69,40,2.57,CL,1721314914
128,hamilton,39.1834,-84.5333,23.29,64,0,3.09,US,1721314688
129,balotra,25.8333,72.2333,27.36,88,100,1.96,IN,1721314916
130,talnakh,69.4865,88.3972,14.5,57,5,4.26,RU,1721314917
131,kerikeri,-35.2268,173.9474,13.34,94,100,1.83,NZ,1721314919
132,mount gambier,-37.8333,140.7667,7.86,81,100,4.72,AU,1721314920
133,yeppoon,-23.1333,150.7333,7.36,57,0,3.41,AU,1721314921
134,punta arenas,-53.15,-70.9167,3.06,77,20,8.75,CL,1721314922
135,porto novo,6.4965,2.6036,27.9,69,97,5.93,BJ,1721314923
136,chonchi,-42.6128,-73.8092,5.62,79,60,2.92,CL,1721314924
137,arraial do cabo,-22.9661,-42.0278,24.98,69,0,2.06,BR,1721314909
138,chibougamau,49.9168,-74.3659,17.79,72,20,4.63,CA,1721314927
139,ancud,-41.8697,-73.8203,6.87,74,21,4.5,CL,1721314928
140,iskateley,67.6803,53.1512,13.0,65,4,5.85,RU,1721314929
141,afaahiti,-17.75,-149.2833,23.93,75,0,4.46,PF,1721314930
142,preobrazheniye,42.9019,133.9064,20.32,99,100,1.15,RU,1721314931
143,santiago de chuco,-8.15,-78.1833,15.16,14,0,2.12,PE,1721314932
144,leava,-14.3,-178.1667,27.52,69,100,8.72,WF,1721314933
145,petropavlovsk-kamchatsky,53.0452,158.6483,11.33,82,75,2.0,RU,1721314936
146,urangan,-25.3,152.9,12.61,70,0,6.32,AU,1721314903
147,khorixas,-20.3667,14.9667,26.43,13,1,5.31,NA,1721314938
148,eureka,40.8021,-124.1637,13.47,93,0,0.89,US,1721314939
149,bamboo flat,11.7,92.7167,28.05,89,100,5.14,IN,1721314940
150,paita,-5.0892,-81.1144,19.74,73,7,5.18,PE,1721314942
